what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1417345143813
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417345145016
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1417345145016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345147587
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345181772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345184109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345351874
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1417345354013
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1417345354013
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1417345354052
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1417345354052
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1417345360601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345360784
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345362468
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1417345362483
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417345362483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345374703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345396715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345400176
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345414760
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1417345414807
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345417262
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345430154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345432441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345535153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345536417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345537270
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417345541907
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417346173796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417346191852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417346203283
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1417346203449
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1417346203530
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417346204402
